filename;processes;threads/cores;nx;problem-size(GB);DDOT;WAXPY;SpMV;MG;Raw-Total;HPCG-3.0;HPCG-2.4;Mode;Schedule;nodes;DDOT-opt;SPVM-opt;SPMV-ARMPL;SCHED-ON
../test8_unroll2_3/fj052-1ranks-1threads_HPCG-Benchmark_3.0_2022-11-17_05-17-49.txt;1;1;144;2.13405;8.56969;5.55763;1.49059;0.808494;0.892077;0.871425;0.878812;TDG;(static,0);1;?;1;?;0
../test8_unroll2_3/fj052-1ranks-2threads_HPCG-Benchmark_3.0_2022-11-17_05-21-14.txt;1;2;144;2.13405;16.6439;10.4694;2.95644;1.50285;1.66395;1.6058;1.62423;TDG;(static,0);1;?;1;?;0
../test8_unroll2_3/fj052-1ranks-3threads_HPCG-Benchmark_3.0_2022-11-17_05-24-29.txt;1;3;144;2.13405;22.1555;14.8483;4.27582;2.11973;2.34697;2.22841;2.26729;TDG;(static,0);1;?;1;?;0
../test8_unroll2_3/fj052-1ranks-4threads_HPCG-Benchmark_3.0_2022-11-17_05-27-44.txt;1;4;144;2.13405;26.636;17.1318;4.81212;2.60036;2.85346;2.68584;2.74257;TDG;(static,0);1;?;1;?;0
../test8_unroll2_3/fj052-1ranks-5threads_HPCG-Benchmark_3.0_2022-11-17_05-30-44.txt;1;5;144;2.13405;28.0429;17.396;5.93663;3.07767;3.38198;3.15179;3.23024;TDG;(static,0);1;?;1;?;0
../test8_unroll2_3/fj052-1ranks-6threads_HPCG-Benchmark_3.0_2022-11-17_05-33-48.txt;1;6;144;2.13405;29.1229;17.5468;6.92731;3.4949;3.84185;3.54947;3.65158;TDG;(static,0);1;?;1;?;0
../test8_unroll2_3/fj052-1ranks-7threads_HPCG-Benchmark_3.0_2022-11-17_05-36-43.txt;1;7;144;2.13405;29.1078;17.539;7.93394;3.83404;4.22225;3.85409;3.99631;TDG;(static,0);1;?;1;?;0
../test8_unroll2_3/fj052-1ranks-8threads_HPCG-Benchmark_3.0_2022-11-17_05-39-33.txt;1;8;144;2.13405;29.2675;17.57;8.96381;4.13223;4.5607;4.1513;4.30078;TDG;(static,0);1;?;1;?;0
../test8_unroll2_3/fj052-1ranks-9threads_HPCG-Benchmark_3.0_2022-11-17_05-42-27.txt;1;9;144;2.13405;28.9764;17.3829;10.0026;4.48686;4.95329;4.47591;4.65127;TDG;(static,0);1;?;1;?;0
../test8_unroll2_3/fj052-1ranks-10threads_HPCG-Benchmark_3.0_2022-11-17_05-45-16.txt;1;10;144;2.13405;28.9668;17.5386;10.8457;4.77144;5.26787;4.71731;4.92995;TDG;(static,0);1;?;1;?;0
../test8_unroll2_3/fj052-1ranks-11threads_HPCG-Benchmark_3.0_2022-11-17_05-48-12.txt;1;11;144;2.13405;28.9525;17.5341;11.8786;5.02806;5.55928;4.96249;5.18798;TDG;(static,0);1;?;1;?;0
../test8_unroll2_3/fj052-1ranks-12threads_HPCG-Benchmark_3.0_2022-11-17_05-51-04.txt;1;12;144;2.13405;28.909;17.4884;12.8059;5.24263;5.80366;5.13001;5.40044;TDG;(static,0);1;?;1;?;0
