filename;processes;threads/cores;nx;problem-size(GB);DDOT;WAXPBY;SpMV;MG;Raw-Total;HPCG-3.0;HPCG-2.4;Mode;Schedule;nodes;DDOT-opt;SPVM-opt;SPMV-ARMPL;SCHED-ON;MG-GS;MG-SPMV;F_OPS;F_REF_OPS;OPT_TIME;SETUP_TIME;TOTAL_TIME;REF_OPS;REF_ITERS;OPT_ITERS;COUNT_ITERATIONS/REF_ITERS;Conv-Data
fj063-128ranks-11threads_HPCG-Benchmark_3.0_2023-09-06_12-39-32.txt;128;11;1280;374.914;53.5599;1661.77;1380.44;599.557;552.164;471.836;513.887;TDG;(static:0);32;?;1;?;0;718.809;944.916;2.35456e+14;2.35456e+14;9.68052;17.0146;434.953;2.35456e+14;50;51;24;8,4,4,,160,160,160,,0.189436,0.104524,0.072363,0.055394,0.044861,0.037684,0.032490,0.028573,0.025525,0.023085,0.021081,0.019393,0.017940,0.016672,0.015559,0.014581,0.013724,0.012974,0.012315,0.011728,0.011198,0.010710,0.010257,0.009837,0.009459,0.009130,0.008845,0.008595,0.008372,0.008159,0.007946,0.007724,0.007496,0.007265,0.007037,0.006816,0.006602,0.006397,0.006201,0.006020,0.005857,0.005716,0.005590,0.005469,0.005336,0.005195,0.005088,0.005074,0.005107,0.005020,0.004810,
fj063-128ranks-11threads_HPCG-Benchmark_3.0_2023-09-06_12-47-44.txt;128;11;1280;374.914;141.793;1630.4;1415.18;708.673;709.082;584.445;650.532;TDG;(static:0);32;?;1;?;0;713.786;1176.61;2.25645e+14;2.25645e+14;9.68547;17.053;324.587;2.25645e+14;50;51;23;8,4,4,,160,160,160,,0.189436,0.104524,0.072363,0.055394,0.044861,0.037684,0.032490,0.028573,0.025525,0.023085,0.021081,0.019393,0.017940,0.016672,0.015559,0.014581,0.013724,0.012974,0.012315,0.011728,0.011198,0.010710,0.010257,0.009837,0.009459,0.009130,0.008845,0.008595,0.008372,0.008159,0.007946,0.007724,0.007496,0.007265,0.007037,0.006816,0.006602,0.006397,0.006201,0.006020,0.005857,0.005716,0.005590,0.005469,0.005336,0.005195,0.005088,0.005074,0.005107,0.005020,0.004810,
fj063-128ranks-11threads_HPCG-Benchmark_3.0_2023-09-06_12-56-06.txt;128;11;1280;374.914;162.669;1645.5;1410.06;706.664;714.668;588.148;655.466;TDG;(static:0);32;?;1;?;0;713.238;1148.68;2.35456e+14;2.35456e+14;9.65334;17.1314;336.052;2.35456e+14;50;51;24;8,4,4,,160,160,160,,0.189436,0.104524,0.072363,0.055394,0.044861,0.037684,0.032490,0.028573,0.025525,0.023085,0.021081,0.019393,0.017940,0.016672,0.015559,0.014581,0.013724,0.012974,0.012315,0.011728,0.011198,0.010710,0.010257,0.009837,0.009459,0.009130,0.008845,0.008595,0.008372,0.008159,0.007946,0.007724,0.007496,0.007265,0.007037,0.006816,0.006602,0.006397,0.006201,0.006020,0.005857,0.005716,0.005590,0.005469,0.005336,0.005195,0.005088,0.005074,0.005107,0.005020,0.004810,
fj063-128ranks-11threads_HPCG-Benchmark_3.0_2023-09-06_13-05-11.txt;128;11;1280;374.914;264.44;1641.19;1410.04;746.815;770.051;625.84;702.759;TDG;(static:0);32;?;1;?;0;722.763;1160.99;2.25645e+14;2.25645e+14;9.65138;17.1578;298.887;2.25645e+14;50;51;23;8,4,4,,160,160,160,,0.189436,0.104524,0.072363,0.055394,0.044861,0.037684,0.032490,0.028573,0.025525,0.023085,0.021081,0.019393,0.017940,0.016672,0.015559,0.014581,0.013724,0.012974,0.012315,0.011728,0.011198,0.010710,0.010257,0.009837,0.009459,0.009130,0.008845,0.008595,0.008372,0.008159,0.007946,0.007724,0.007496,0.007265,0.007037,0.006816,0.006602,0.006397,0.006201,0.006020,0.005857,0.005716,0.005590,0.005469,0.005336,0.005195,0.005088,0.005074,0.005107,0.005020,0.004810,
fj063-128ranks-11threads_HPCG-Benchmark_3.0_2023-09-06_13-13-03.txt;128;11;1280;374.914;252.603;1647.57;1414.86;732.39;755.995;616.457;690.656;TDG;(static:0);32;?;1;?;0;711.321;1139.39;2.25645e+14;2.25645e+14;9.68144;17.0977;304.444;2.25645e+14;50;51;23;8,4,4,,160,160,160,,0.189436,0.104524,0.072363,0.055394,0.044861,0.037684,0.032490,0.028573,0.025525,0.023085,0.021081,0.019393,0.017940,0.016672,0.015559,0.014581,0.013724,0.012974,0.012315,0.011728,0.011198,0.010710,0.010257,0.009837,0.009459,0.009130,0.008845,0.008595,0.008372,0.008159,0.007946,0.007724,0.007496,0.007265,0.007037,0.006816,0.006602,0.006397,0.006201,0.006020,0.005857,0.005716,0.005590,0.005469,0.005336,0.005195,0.005088,0.005074,0.005107,0.005020,0.004810,
fj063-128ranks-11threads_HPCG-Benchmark_3.0_2023-09-06_13-21-04.txt;128;11;1280;374.914;278.243;1652.43;1414.46;738.181;764.47;622.278;697.906;TDG;(static:0);32;?;1;?;0;710.645;1175.68;2.35456e+14;2.35456e+14;9.67327;17.0844;314.159;2.35456e+14;50;51;24;8,4,4,,160,160,160,,0.189436,0.104524,0.072363,0.055394,0.044861,0.037684,0.032490,0.028573,0.025525,0.023085,0.021081,0.019393,0.017940,0.016672,0.015559,0.014581,0.013724,0.012974,0.012315,0.011728,0.011198,0.010710,0.010257,0.009837,0.009459,0.009130,0.008845,0.008595,0.008372,0.008159,0.007946,0.007724,0.007496,0.007265,0.007037,0.006816,0.006602,0.006397,0.006201,0.006020,0.005857,0.005716,0.005590,0.005469,0.005336,0.005195,0.005088,0.005074,0.005107,0.005020,0.004810,
fj063-128ranks-11threads_HPCG-Benchmark_3.0_2023-09-06_13-33-08.txt;128;11;1280;374.914;296.62;1599.27;1412.23;737.409;765.601;623.012;698.874;TDG;(static:0);32;?;1;?;0;714.627;1045.53;2.35456e+14;2.35456e+14;9.6721;17.0933;313.695;2.35456e+14;50;51;24;8,4,4,,160,160,160,,0.189436,0.104524,0.072363,0.055394,0.044861,0.037684,0.032490,0.028573,0.025525,0.023085,0.021081,0.019393,0.017940,0.016672,0.015559,0.014581,0.013724,0.012974,0.012315,0.011728,0.011198,0.010710,0.010257,0.009837,0.009459,0.009130,0.008845,0.008595,0.008372,0.008159,0.007946,0.007724,0.007496,0.007265,0.007037,0.006816,0.006602,0.006397,0.006201,0.006020,0.005857,0.005716,0.005590,0.005469,0.005336,0.005195,0.005088,0.005074,0.005107,0.005020,0.004810,
fj063-128ranks-11threads_HPCG-Benchmark_3.0_2023-09-06_13-41-08.txt;128;11;1280;374.914;280.252;1588.49;1416.29;737.046;763.605;621.902;697.27;TDG;(static:0);32;?;1;?;0;712.35;1217.24;2.35456e+14;2.35456e+14;9.6532;17.0517;314.515;2.35456e+14;50;51;24;8,4,4,,160,160,160,,0.189436,0.104524,0.072363,0.055394,0.044861,0.037684,0.032490,0.028573,0.025525,0.023085,0.021081,0.019393,0.017940,0.016672,0.015559,0.014581,0.013724,0.012974,0.012315,0.011728,0.011198,0.010710,0.010257,0.009837,0.009459,0.009130,0.008845,0.008595,0.008372,0.008159,0.007946,0.007724,0.007496,0.007265,0.007037,0.006816,0.006602,0.006397,0.006201,0.006020,0.005857,0.005716,0.005590,0.005469,0.005336,0.005195,0.005088,0.005074,0.005107,0.005020,0.004810,
fj063-128ranks-11threads_HPCG-Benchmark_3.0_2023-09-06_13-49-00.txt;128;11;1280;374.914;275.477;1660.15;1414.41;727.019;754.336;615.617;689.285;TDG;(static:0);32;?;1;?;0;710.38;912.787;2.25645e+14;2.25645e+14;9.67286;17.0322;305.114;2.25645e+14;50;51;23;8,4,4,,160,160,160,,0.189436,0.104524,0.072363,0.055394,0.044861,0.037684,0.032490,0.028573,0.025525,0.023085,0.021081,0.019393,0.017940,0.016672,0.015559,0.014581,0.013724,0.012974,0.012315,0.011728,0.011198,0.010710,0.010257,0.009837,0.009459,0.009130,0.008845,0.008595,0.008372,0.008159,0.007946,0.007724,0.007496,0.007265,0.007037,0.006816,0.006602,0.006397,0.006201,0.006020,0.005857,0.005716,0.005590,0.005469,0.005336,0.005195,0.005088,0.005074,0.005107,0.005020,0.004810,
fj063-128ranks-11threads_HPCG-Benchmark_3.0_2023-09-06_14-20-06.txt;128;11;1280;374.914;319.529;1641.46;1409.05;738.956;769.273;625.55;701.988;TDG;(static:0);32;?;1;?;0;709.105;1212.6;2.25645e+14;2.25645e+14;9.67315;17.0773;299.189;2.25645e+14;50;51;23;8,4,4,,160,160,160,,0.189436,0.104524,0.072363,0.055394,0.044861,0.037684,0.032490,0.028573,0.025525,0.023085,0.021081,0.019393,0.017940,0.016672,0.015559,0.014581,0.013724,0.012974,0.012315,0.011728,0.011198,0.010710,0.010257,0.009837,0.009459,0.009130,0.008845,0.008595,0.008372,0.008159,0.007946,0.007724,0.007496,0.007265,0.007037,0.006816,0.006602,0.006397,0.006201,0.006020,0.005857,0.005716,0.005590,0.005469,0.005336,0.005195,0.005088,0.005074,0.005107,0.005020,0.004810,
